cappun,relig,age_category,polviews
oppose,none/other,3.0,extremely liberal
favor,catholic,5.0,slightly liberal
favor,protestant,4.0,slightly liberal
favor,none/other,5.0,slightly liberal
favor,none/other,5.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
favor,protestant,4.0,slightly conservative
favor,protestant,5.0,"moderate, middle of the road"
favor,jewish,5.0,"moderate, middle of the road"
oppose,catholic,4.0,liberal
favor,protestant,,conservative
favor,none/other,5.0,"moderate, middle of the road"
favor,protestant,2.0,slightly conservative
favor,protestant,4.0,liberal
oppose,protestant,5.0,slightly liberal
oppose,catholic,1.0,slightly liberal
oppose,none/other,5.0,liberal
favor,catholic,4.0,slightly conservative
favor,catholic,5.0,conservative
oppose,protestant,3.0,slightly liberal
,protestant,5.0,"moderate, middle of the road"
favor,catholic,3.0,conservative
oppose,protestant,4.0,conservative
favor,protestant,2.0,"moderate, middle of the road"
,protestant,4.0,slightly liberal
favor,protestant,1.0,extremely conservative
favor,christianity,2.0,extremely conservative
favor,catholic,4.0,slightly liberal
oppose,catholic,2.0,"moderate, middle of the road"
oppose,jewish,5.0,slightly liberal
favor,protestant,,"moderate, middle of the road"
oppose,protestant,,
oppose,catholic,5.0,slightly liberal
oppose,christianity,5.0,"moderate, middle of the road"
oppose,none/other,4.0,"moderate, middle of the road"
favor,muslim/islam,1.0,"moderate, middle of the road"
oppose,none/other,3.0,slightly liberal
oppose,protestant,1.0,"moderate, middle of the road"
oppose,protestant,2.0,"moderate, middle of the road"
favor,catholic,5.0,"moderate, middle of the road"
favor,none/other,2.0,liberal
favor,,,
favor,christianity,3.0,conservative
favor,protestant,4.0,conservative
favor,protestant,3.0,"moderate, middle of the road"
favor,none/other,4.0,slightly conservative
oppose,christianity,3.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,catholic,5.0,conservative
favor,catholic,5.0,"moderate, middle of the road"
favor,protestant,1.0,conservative
oppose,none/other,5.0,liberal
favor,none/other,3.0,"moderate, middle of the road"
oppose,catholic,5.0,extremely liberal
favor,catholic,2.0,"moderate, middle of the road"
oppose,catholic,5.0,"moderate, middle of the road"
favor,catholic,3.0,liberal
oppose,none/other,5.0,"moderate, middle of the road"
favor,catholic,5.0,extremely conservative
favor,protestant,,"moderate, middle of the road"
oppose,christianity,4.0,"moderate, middle of the road"
oppose,protestant,5.0,liberal
oppose,none/other,4.0,liberal
favor,protestant,5.0,conservative
favor,protestant,5.0,conservative
oppose,protestant,3.0,conservative
oppose,catholic,3.0,"moderate, middle of the road"
favor,catholic,3.0,
favor,protestant,5.0,slightly conservative
favor,protestant,4.0,conservative
favor,protestant,5.0,conservative
favor,catholic,5.0,conservative
favor,protestant,,slightly conservative
oppose,protestant,4.0,slightly liberal
favor,protestant,,"moderate, middle of the road"
oppose,catholic,5.0,"moderate, middle of the road"
oppose,none/other,1.0,liberal
oppose,none/other,2.0,extremely liberal
favor,catholic,3.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
oppose,protestant,2.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
oppose,none/other,,"moderate, middle of the road"
oppose,catholic,5.0,conservative
oppose,protestant,3.0,slightly conservative
oppose,none/other,2.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
favor,protestant,4.0,extremely conservative
oppose,protestant,4.0,liberal
oppose,none/other,3.0,conservative
favor,protestant,5.0,conservative
oppose,catholic,5.0,"moderate, middle of the road"
favor,catholic,3.0,slightly conservative
oppose,protestant,4.0,
favor,none/other,5.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
oppose,protestant,4.0,"moderate, middle of the road"
oppose,christianity,5.0,slightly conservative
oppose,catholic,5.0,slightly liberal
oppose,protestant,5.0,"moderate, middle of the road"
favor,none/other,3.0,slightly conservative
favor,protestant,,slightly conservative
oppose,protestant,5.0,"moderate, middle of the road"
oppose,,3.0,"moderate, middle of the road"
favor,protestant,1.0,"moderate, middle of the road"
oppose,catholic,2.0,slightly liberal
favor,protestant,,extremely conservative
oppose,catholic,5.0,"moderate, middle of the road"
favor,protestant,3.0,"moderate, middle of the road"
favor,catholic,5.0,"moderate, middle of the road"
oppose,buddhism,5.0,liberal
oppose,none/other,5.0,"moderate, middle of the road"
oppose,none/other,2.0,liberal
favor,protestant,4.0,liberal
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,1.0,extremely liberal
oppose,protestant,5.0,slightly conservative
favor,protestant,3.0,liberal
favor,none/other,5.0,liberal
favor,protestant,3.0,conservative
favor,protestant,3.0,extremely conservative
oppose,protestant,,"moderate, middle of the road"
oppose,catholic,3.0,slightly conservative
favor,none/other,2.0,extremely liberal
oppose,christianity,3.0,"moderate, middle of the road"
oppose,protestant,4.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
favor,none/other,5.0,liberal
oppose,protestant,5.0,slightly conservative
oppose,,5.0,"moderate, middle of the road"
favor,protestant,4.0,conservative
oppose,none/other,4.0,liberal
favor,protestant,5.0,extremely conservative
oppose,protestant,,conservative
favor,protestant,5.0,"moderate, middle of the road"
oppose,christianity,4.0,"moderate, middle of the road"
favor,protestant,2.0,slightly liberal
oppose,none/other,2.0,liberal
favor,none/other,5.0,extremely conservative
favor,protestant,5.0,liberal
oppose,protestant,5.0,liberal
favor,catholic,3.0,"moderate, middle of the road"
favor,protestant,2.0,slightly liberal
oppose,catholic,5.0,slightly liberal
favor,none/other,1.0,"moderate, middle of the road"
oppose,protestant,5.0,extremely conservative
oppose,protestant,5.0,slightly liberal
favor,protestant,5.0,slightly conservative
favor,protestant,5.0,conservative
oppose,catholic,1.0,slightly liberal
favor,protestant,5.0,conservative
favor,none/other,2.0,slightly liberal
favor,protestant,4.0,"moderate, middle of the road"
favor,none/other,1.0,slightly liberal
oppose,none/other,3.0,liberal
favor,protestant,2.0,slightly conservative
favor,none/other,2.0,extremely liberal
favor,protestant,3.0,slightly conservative
favor,muslim/islam,1.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
oppose,none/other,5.0,liberal
favor,none/other,3.0,liberal
oppose,catholic,1.0,"moderate, middle of the road"
favor,buddhism,5.0,slightly liberal
oppose,catholic,5.0,slightly liberal
oppose,protestant,1.0,slightly liberal
favor,protestant,5.0,conservative
oppose,none/other,1.0,"moderate, middle of the road"
favor,christianity,4.0,
favor,none/other,1.0,slightly liberal
favor,none/other,4.0,conservative
favor,catholic,5.0,liberal
favor,muslim/islam,2.0,"moderate, middle of the road"
favor,none/other,2.0,slightly conservative
oppose,protestant,3.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
oppose,none/other,5.0,"moderate, middle of the road"
favor,catholic,3.0,liberal
oppose,none/other,2.0,extremely liberal
favor,protestant,5.0,slightly conservative
favor,protestant,,slightly conservative
oppose,jewish,5.0,liberal
oppose,jewish,5.0,liberal
favor,none/other,4.0,"moderate, middle of the road"
oppose,catholic,1.0,liberal
oppose,none/other,2.0,extremely liberal
oppose,none/other,5.0,liberal
favor,none/other,4.0,liberal
favor,protestant,4.0,slightly liberal
favor,catholic,5.0,"moderate, middle of the road"
oppose,protestant,5.0,slightly liberal
favor,catholic,4.0,conservative
favor,protestant,,"moderate, middle of the road"
oppose,catholic,1.0,"moderate, middle of the road"
favor,none/other,3.0,"moderate, middle of the road"
oppose,none/other,5.0,slightly liberal
favor,buddhism,4.0,"moderate, middle of the road"
favor,catholic,1.0,"moderate, middle of the road"
oppose,none/other,2.0,extremely liberal
favor,none/other,4.0,liberal
oppose,catholic,2.0,slightly liberal
oppose,catholic,2.0,"moderate, middle of the road"
favor,none/other,5.0,slightly conservative
favor,none/other,3.0,extremely liberal
oppose,protestant,4.0,"moderate, middle of the road"
oppose,catholic,5.0,slightly liberal
oppose,protestant,4.0,"moderate, middle of the road"
oppose,none/other,5.0,slightly conservative
oppose,none/other,5.0,liberal
oppose,none/other,5.0,slightly liberal
oppose,catholic,4.0,liberal
favor,protestant,1.0,"moderate, middle of the road"
oppose,protestant,4.0,liberal
favor,protestant,2.0,conservative
oppose,catholic,4.0,liberal
favor,protestant,2.0,slightly conservative
oppose,protestant,2.0,"moderate, middle of the road"
oppose,none/other,1.0,slightly conservative
oppose,catholic,5.0,conservative
oppose,protestant,3.0,
favor,protestant,5.0,slightly conservative
favor,none/other,2.0,slightly liberal
favor,,2.0,"moderate, middle of the road"
favor,none/other,3.0,slightly conservative
oppose,none/other,1.0,extremely liberal
favor,catholic,2.0,slightly conservative
favor,catholic,5.0,extremely conservative
oppose,protestant,4.0,"moderate, middle of the road"
oppose,none/other,1.0,liberal
favor,catholic,2.0,
oppose,none/other,1.0,slightly conservative
favor,none/other,5.0,"moderate, middle of the road"
oppose,protestant,5.0,slightly conservative
favor,catholic,5.0,"moderate, middle of the road"
oppose,none/other,1.0,slightly conservative
favor,catholic,3.0,slightly conservative
favor,catholic,5.0,slightly conservative
oppose,none/other,5.0,liberal
oppose,none/other,3.0,extremely liberal
favor,catholic,5.0,"moderate, middle of the road"
favor,catholic,,conservative
oppose,protestant,5.0,conservative
,jewish,5.0,slightly conservative
favor,catholic,4.0,slightly conservative
oppose,protestant,1.0,slightly conservative
oppose,none/other,5.0,slightly conservative
oppose,none/other,3.0,extremely liberal
oppose,none/other,2.0,slightly liberal
oppose,none/other,1.0,liberal
oppose,protestant,4.0,"moderate, middle of the road"
favor,none/other,1.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
oppose,protestant,5.0,slightly liberal
favor,hinduism,2.0,"moderate, middle of the road"
favor,protestant,2.0,slightly liberal
oppose,none/other,4.0,liberal
favor,protestant,5.0,extremely liberal
oppose,catholic,5.0,slightly liberal
favor,none/other,,"moderate, middle of the road"
oppose,catholic,3.0,slightly liberal
favor,none/other,4.0,"moderate, middle of the road"
oppose,none/other,,"moderate, middle of the road"
oppose,none/other,1.0,extremely liberal
oppose,none/other,5.0,
favor,protestant,5.0,"moderate, middle of the road"
favor,none/other,4.0,slightly liberal
favor,protestant,,slightly conservative
oppose,none/other,2.0,liberal
oppose,none/other,2.0,extremely liberal
favor,protestant,3.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
oppose,none/other,5.0,liberal
oppose,protestant,4.0,slightly liberal
favor,protestant,5.0,conservative
favor,catholic,5.0,conservative
oppose,protestant,5.0,"moderate, middle of the road"
oppose,catholic,5.0,slightly liberal
favor,none/other,5.0,slightly liberal
favor,protestant,5.0,"moderate, middle of the road"
favor,none/other,2.0,slightly liberal
favor,catholic,2.0,"moderate, middle of the road"
oppose,catholic,5.0,"moderate, middle of the road"
oppose,none/other,5.0,conservative
favor,protestant,3.0,slightly liberal
favor,none/other,1.0,"moderate, middle of the road"
favor,protestant,,extremely conservative
favor,catholic,4.0,"moderate, middle of the road"
favor,none/other,4.0,"moderate, middle of the road"
favor,catholic,5.0,slightly conservative
oppose,none/other,5.0,liberal
favor,jewish,2.0,liberal
oppose,none/other,2.0,"moderate, middle of the road"
oppose,none/other,4.0,"moderate, middle of the road"
favor,christianity,4.0,conservative
favor,protestant,5.0,"moderate, middle of the road"
favor,none/other,2.0,slightly liberal
favor,protestant,2.0,"moderate, middle of the road"
favor,none/other,3.0,liberal
favor,christianity,,conservative
favor,protestant,5.0,slightly liberal
favor,none/other,2.0,slightly conservative
oppose,catholic,4.0,"moderate, middle of the road"
oppose,protestant,1.0,liberal
oppose,catholic,2.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
favor,protestant,3.0,liberal
favor,protestant,2.0,slightly liberal
favor,catholic,5.0,conservative
oppose,none/other,1.0,"moderate, middle of the road"
favor,none/other,3.0,
oppose,none/other,5.0,liberal
oppose,none/other,2.0,extremely liberal
favor,protestant,5.0,"moderate, middle of the road"
favor,buddhism,5.0,conservative
favor,none/other,2.0,slightly liberal
favor,christianity,3.0,slightly conservative
favor,catholic,5.0,slightly liberal
oppose,catholic,5.0,slightly conservative
favor,buddhism,3.0,conservative
favor,protestant,5.0,"moderate, middle of the road"
favor,catholic,1.0,"moderate, middle of the road"
oppose,catholic,5.0,"moderate, middle of the road"
favor,protestant,4.0,conservative
favor,protestant,5.0,conservative
favor,protestant,4.0,"moderate, middle of the road"
favor,protestant,2.0,"moderate, middle of the road"
oppose,protestant,2.0,"moderate, middle of the road"
oppose,protestant,2.0,"moderate, middle of the road"
favor,catholic,5.0,"moderate, middle of the road"
,protestant,5.0,"moderate, middle of the road"
oppose,none/other,5.0,liberal
,protestant,5.0,"moderate, middle of the road"
favor,catholic,3.0,liberal
favor,protestant,5.0,"moderate, middle of the road"
oppose,protestant,5.0,slightly liberal
oppose,protestant,5.0,"moderate, middle of the road"
favor,protestant,,"moderate, middle of the road"
oppose,none/other,1.0,liberal
oppose,jewish,3.0,slightly liberal
favor,protestant,5.0,conservative
oppose,protestant,5.0,slightly liberal
oppose,none/other,3.0,"moderate, middle of the road"
favor,none/other,,"moderate, middle of the road"
favor,catholic,5.0,liberal
favor,jewish,1.0,conservative
favor,jewish,5.0,slightly conservative
oppose,protestant,4.0,liberal
oppose,none/other,1.0,extremely liberal
oppose,catholic,5.0,slightly liberal
oppose,protestant,4.0,liberal
favor,protestant,4.0,conservative
favor,catholic,1.0,liberal
favor,none/other,4.0,"moderate, middle of the road"
oppose,protestant,5.0,slightly liberal
favor,protestant,1.0,"moderate, middle of the road"
favor,protestant,3.0,extremely liberal
favor,,,slightly liberal
favor,protestant,5.0,conservative
oppose,protestant,5.0,conservative
